title,platform,total_sale,na_sale,pal_sale,japan_sale,other_sale
Street Fighter II: The World Warrior,SNES,6.30,2.47,0.83,2.87,0.12
The Last of Us,PlayStation 3,6.27,2.41,2.57,0.29,0.99
Driver,PlayStation,6.27,3.11,2.80,0.02,0.33
Call of Duty: WWII,Xbox One,6.23,3.75,1.91,NA,0.57
Kinect Sports,Xbox 360,6.23,3.92,1.73,0.03,0.55
Gears of War 3,Xbox 360,6.22,4.05,1.59,0.07,0.50
God of War (2018),PlayStation 4,6.15,2.83,2.17,0.13,1.02
Gears of War,Xbox 360,6.09,3.54,1.88,0.07,0.60
Minecraft,PlayStation 3,6.05,2.21,2.86,NA,0.99
Metal Gear Solid 2: Sons of Liberty,PlayStation 2,6.05,2.45,2.01,0.87,0.72
Sonic the Hedgehog 2,GEN,6.03,4.47,1.20,0.16,0.19
Metal Gear Solid,PlayStation,6.03,3.18,1.83,0.78,0.24
Metal Gear Solid 4: Guns of the Patriots,PlayStation 3,6.00,2.63,1.72,0.83,0.81
Final Fantasy XII,PlayStation 2,5.95,1.88,0.00,2.33,1.74
Tomodachi Life,3DS,5.88,0.97,2.64,1.98,0.28
LittleBigPlanet,PlayStation 3,5.85,2.80,2.01,0.17,0.87
Horizon: Zero Dawn,PlayStation 4,5.82,2.20,2.43,0.28,0.92
Resident Evil 2,PlayStation,5.82,1.88,1.47,2.02,0.45
Dragon Quest IX: Sentinels of the Starry Skies,DS,5.79,0.63,0.67,4.35,0.15
Red Dead Redemption 2,Xbox One,5.77,3.76,1.47,NA,0.54
Destiny,PlayStation 4,5.76,2.53,2.13,0.16,0.94
Tekken 2,PlayStation,5.74,2.26,1.89,1.36,0.23
Uncharted: The Nathan Drake Collection,PlayStation 4,5.70,2.55,2.11,0.10,0.94
LEGO Star Wars: The Complete Saga,Wii,5.66,3.57,1.57,NA,0.52
Cooking Mama,DS,5.66,3.09,1.92,0.07,0.58
New Super Mario Bros. U,Wii U,5.62,2.30,1.63,1.32,0.38
Tetris,NES,5.58,2.97,0.69,1.81,0.11
Assassin's Creed II,PlayStation 3,5.57,2.54,1.95,0.21,0.86
Super Smash Bros.,Nintendo 64,5.55,2.95,0.60,1.97,0.04
Assassin's Creed,Xbox 360,5.55,3.28,1.64,0.07,0.56
Batman: Arkham City,PlayStation 3,5.54,2.72,1.89,0.11,0.82
Forza Motorsport 3,Xbox 360,5.50,2.99,1.90,0.10,0.51
Monster Hunter Freedom Unite,PSP,5.50,0.47,0.57,4.13,0.34
Super Mario Advance,GBA,5.49,3.14,1.24,0.91,0.20
Mario Kart: Super Circuit,GBA,5.47,2.62,1.64,0.99,0.23
Super Mario World: Super Mario Advance 2,GBA,5.46,3.21,1.11,0.95,0.20
Pokémon Stadium,Nintendo 64,5.45,3.18,1.24,0.94,0.09
Luigi's Mansion: Dark Moon,3DS,5.44,2.03,1.88,1.17,0.36
Minecraft,Xbox One,5.43,3.23,1.71,NA,0.49
Call of Duty: World at War,PlayStation 3,5.43,2.75,1.84,NA,0.84
Crash Bandicoot: The Wrath of Cortex,PlayStation 2,5.42,2.07,2.29,0.24,0.82
The Witcher 3: Wild Hunt,PlayStation 4,5.39,1.48,2.82,0.28,0.81
Final Fantasy XIII,PlayStation 3,5.35,1.75,1.23,1.87,0.51
Dr. Mario,Game Boy Advance,5.34,2.18,0.96,2.00,0.20
Assassin's Creed III,Xbox 360,5.31,3.13,1.71,0.03,0.45
Pokémon Pinball,GBC,5.31,3.02,1.12,1.01,0.16
Assassin's Creed II,Xbox 360,5.30,3.14,1.55,0.08,0.52
Final Fantasy IX,PlayStation,5.30,1.62,0.77,2.78,0.14
Final Fantasy X-2,PlayStation 2,5.29,1.92,1.08,2.11,0.17
Donkey Kong 64,Nintendo 64,5.27,3.33,0.79,1.09,0.06
Diablo III,PC,5.26,2.50,2.23,NA,0.53
Tomb Raider II,PlayStation,5.24,2.30,2.46,0.20,0.28
Madden NFL 2004,PlayStation 2,5.23,4.26,0.26,0.01,0.71
Call of Duty: Advanced Warfare,Xbox One,5.22,3.25,1.49,0.01,0.48
Dragon Quest VIII: Journey of the Cursed King,PlayStation 2,5.21,0.65,0.75,3.61,0.20
Super Mario Advance 4: Super Mario Bros. 3,GBA,5.20,2.93,1.25,0.83,0.20
Professor Layton and the Curious Village,DS,5.20,1.21,2.44,1.03,0.51
Super Mario Land 3: Wario Land,Game Boy Advance,5.19,2.49,0.98,1.57,0.15
Donkey Kong Country 2: Diddy's Kong Quest,SNES,5.15,2.10,0.74,2.20,0.11
Medal of Honor: Rising Sun,PlayStation 2,5.13,1.98,2.23,0.13,0.80
Battlefield 1,Xbox One,5.13,3.37,1.26,0.02,0.48
Kirby's Dream Land,Game Boy Advance,5.13,2.71,0.61,1.70,0.11
Microsoft Flight Simulator,PC,5.12,3.22,1.69,NA,0.20
Guitar Hero II,PlayStation 2,5.12,3.81,0.63,NA,0.68
FIFA 13,Xbox 360,5.11,1.10,3.49,0.03,0.50
Resident Evil 5,PlayStation 3,5.10,1.96,1.42,1.08,0.64
Fable III,Xbox 360,5.10,3.59,1.09,0.05,0.37
Mario & Sonic at the Olympic Games,DS,5.10,1.63,2.46,0.44,0.57
The Legend of Zelda: Phantom Hourglass,DS,5.09,1.85,1.80,0.95,0.48
Grand Theft Auto: Vice City Stories,PSP,5.08,1.70,2.03,0.16,1.19
FIFA Soccer 11,PlayStation 3,5.08,0.61,3.28,0.06,1.12
Super Mario Bros. Deluxe,Game Boy Advance,5.07,3.40,1.30,0.15,0.22
Super Smash Bros. for Wii U,Wii U,5.07,2.68,1.15,0.85,0.39
Final Fantasy XV,PlayStation 4,5.07,1.81,1.53,1.05,0.68
Resident Evil,PlayStation,5.05,2.05,1.16,1.11,0.73
Fallout 4,Xbox One,5.03,2.94,1.62,0.02,0.45
Tony Hawk's Pro Skater,PlayStation,5.02,3.42,1.38,0.02,0.20
Super Mario 3D World,Wii U,5.01,2.31,1.54,0.79,0.37
Warzone 2100,PlayStation,5.01,2.79,1.89,NA,0.33
Spyro the Dragon,PlayStation,5.00,3.36,1.36,0.07,0.21
Guitar Hero III: Legends of Rock,PlayStation 2,4.98,3.49,0.01,0.01,1.48
Link's Crossbow Training,Wii,4.98,3.05,1.17,0.29,0.46
Super Mario Party,Switch,4.97,2.12,1.64,0.85,0.36
Uncharted: Drake's Fortune,PlayStation 3,4.97,2.32,1.73,0.12,0.80
Fallout 3,Xbox 360,4.96,3.41,0.99,0.09,0.46
Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,4.94,1.83,1.19,1.54,0.37
Halo 5: Guardians,Xbox One,4.92,2.94,1.49,0.03,0.45
Madden NFL 06,PlayStation 2,4.91,3.98,0.26,0.01,0.66
Diddy Kong Racing,Nintendo 64,4.88,2.91,0.99,0.89,0.10
Monster Hunter Freedom 3,PSP,4.87,NA,0.00,4.87,0.00
StarCraft II: Wings of Liberty,PC,4.86,2.60,1.70,NA,0.56
Call of Duty: Black Ops IIII,Xbox One,4.85,3.27,1.12,NA,0.46
Dr. Mario,NES,4.85,2.62,0.60,1.52,0.10
Crash Bandicoot N. Sane Trilogy,PlayStation 4,4.83,1.09,2.92,0.07,0.74
Assassin's Creed,PlayStation 3,4.83,1.91,2.01,0.09,0.82
God of War III,PlayStation 3,4.81,2.74,1.36,0.12,0.60
Call of Duty: Infinite Warfare,Xbox One,4.79,2.91,1.44,NA,0.44
Crash Team Racing,PlayStation,4.79,2.57,1.57,0.44,0.21
LEGO Star Wars: The Complete Saga,DS,4.77,2.83,1.49,NA,0.45
Batman: Arkham City,Xbox 360,4.75,2.99,1.28,0.04,0.44
Driver 2,PlayStation,4.73,2.36,2.10,0.02,0.25
Splatoon,Wii U,4.71,1.58,1.30,1.56,0.27
The Simpsons: Hit & Run,PlayStation 2,4.70,1.73,2.19,NA,0.79
Tony Hawk's Pro Skater 2,PlayStation,4.68,3.05,1.41,0.02,0.20
Monster Hunter: World,PlayStation 4,4.67,1.03,1.06,2.17,0.42
The Lord of the Rings: The Two Towers,PlayStation 2,4.67,1.94,1.95,0.08,0.70
Animal Crossing: City Folk,Wii,4.65,1.84,1.13,1.32,0.36
Tomb Raider,PlayStation,4.63,2.29,1.97,0.13,0.24
Nintendo Land,Wii U,4.63,2.52,1.23,0.51,0.38
The Legend of Zelda: A Link to the Past,SNES,4.61,2.42,0.91,1.15,0.13
Forza Motorsport 4,Xbox 360,4.60,2.08,1.98,0.06,0.49
The Legend of Zelda: The Wind Waker,GameCube,4.60,2.60,0.99,0.89,0.13
Guitar Hero III: Legends of Rock,Wii,4.60,3.04,1.12,0.00,0.44
FIFA 15,PlayStation 3,4.56,0.59,3.25,0.04,0.68
Mario & Sonic at the Olympic Winter Games,Wii,4.54,1.87,1.97,0.22,0.48
Overwatch,PlayStation 4,4.54,1.84,1.80,0.17,0.73
Madden NFL 2005,PlayStation 2,4.53,4.18,0.26,0.01,0.08
Guitar Hero III: Legends of Rock,Xbox 360,4.53,3.19,0.91,0.01,0.42
Star Wars Battlefront II (2017),PlayStation 4,4.53,1.70,1.99,0.12,0.73
Pitfall!,2600,4.50,4.21,0.24,NA,0.05
Madden NFL 07,PlayStation 2,4.49,3.63,0.24,0.01,0.61
Spider-Man: The Movie,PlayStation 2,4.48,2.71,1.51,0.03,0.23
Dragon Quest VII,PlayStation,4.47,0.20,0.14,4.10,0.02
The Elder Scrolls IV: Oblivion,Xbox 360,4.47,2.89,1.03,0.13,0.41
God of War,PlayStation 2,4.45,2.71,1.29,0.02,0.43
Tony Hawk's Pro Skater 3,PlayStation 2,4.41,2.66,1.29,0.01,0.46
Winning Eleven: Pro Evolution Soccer 2007,PlayStation 2,4.39,0.10,2.39,1.05,0.86
Zelda II: The Adventure of Link,NES,4.38,2.19,0.50,1.61,0.08
Michael Jackson: The Experience,Wii,4.37,2.64,1.33,0.01,0.39
Tom Clancy's The Division,PlayStation 4,4.37,1.49,2.04,0.16,0.69
Need for Speed: Most Wanted,PlayStation 2,4.37,2.03,1.79,0.08,0.47
Resistance: Fall of Man,PlayStation 3,4.37,1.74,1.72,0.14,0.76
Tom Clancy's Rainbow Six: Siege,PlayStation 4,4.36,1.29,2.06,0.36,0.64
Call of Duty: Advanced Warfare,Xbox 360,4.34,2.81,1.13,0.00,0.41
Sonic the Hedgehog,GEN,4.34,3.03,0.91,0.26,0.13
Kingdom Hearts II,PlayStation 2,4.33,2.20,0.58,1.38,0.17
Watch Dogs,PlayStation 4,4.32,1.40,2.13,0.11,0.68
Asteroids,2600,4.31,4.00,0.26,NA,0.05
Batman: Arkham Asylum,PlayStation 3,4.28,2.26,1.33,0.07,0.63
Fable II,Xbox 360,4.28,2.51,1.24,0.11,0.41
Call of Duty: Advanced Warfare,PlayStation 3,4.27,1.59,1.81,0.20,0.67
Namco Museum,GBA,4.24,3.00,1.11,0.05,0.07
Daxter,PSP,4.23,2.45,1.02,NA,0.77
Assassin's Creed: Revelations,PlayStation 3,4.23,1.41,2.03,0.10,0.69
Metal Gear Solid 3: Snake Eater,PlayStation 2,4.23,1.46,0.00,0.83,1.93
Assassin's Creed: Revelations,Xbox 360,4.22,2.28,1.47,0.04,0.44
Warcraft II: Tides of Darkness,PC,4.21,1.70,2.27,NA,0.23
FIFA Soccer 06,PlayStation 2,4.21,0.78,2.55,0.04,0.84
EyeToy Play,PlayStation 2,4.20,0.88,2.30,0.20,0.83
Gran Turismo 5 Prologue,PlayStation 3,4.20,1.28,1.83,0.57,0.52
Street Fighter IV,PlayStation 3,4.19,2.04,1.05,0.59,0.52
FIFA Soccer 12,Xbox 360,4.18,0.85,2.79,0.02,0.52
Call of Duty: Ghosts,PlayStation 4,4.17,1.79,1.64,0.05,0.69
Teenage Mutant Ninja Turtles,NES,4.17,3.38,0.44,0.31,0.04
Excitebike,NES,4.16,2.04,0.48,1.57,0.07
Frogger,PlayStation,4.16,3.79,0.27,NA,0.11
Star Wars Battlefront (2015),Xbox One,4.15,2.49,1.26,0.02,0.38
FIFA 14,Xbox 360,4.15,0.94,2.92,0.01,0.29
Nintendogs + cats,3DS,4.15,1.44,1.69,0.73,0.29
Madden NFL 2003,PlayStation 2,4.14,3.36,0.21,0.01,0.56
Assassin's Creed: Unity,PlayStation 4,4.14,1.25,2.16,0.09,0.65
Destiny 2,PlayStation 4,4.14,1.92,1.44,0.10,0.69
Half-Life,PC,4.12,4.03,0.00,0.09,NA
Super Mario World 2: Yoshi's Island,SNES,4.12,1.65,0.61,1.76,0.09
Batman: Arkham Knight,PlayStation 4,4.11,1.65,1.68,0.11,0.66
FIFA 07 Soccer,PlayStation 2,4.11,0.71,2.48,0.03,0.89
The Sims 4,PC,4.10,1.20,2.60,NA,0.30
Street Fighter II Turbo,SNES,4.10,1.42,0.51,2.10,0.07
World of Warcraft: The Burning Crusade,PC,4.09,2.57,1.52,NA,NA
Fallout: New Vegas,Xbox 360,4.08,2.67,1.03,0.04,0.34
God of War II,PlayStation 2,4.07,2.32,0.04,0.04,1.67
Assassin's Creed Origins,PlayStation 4,4.06,1.22,2.11,0.11,0.63
Far Cry 4,PlayStation 4,4.06,1.18,2.14,0.11,0.63
Carnival Games,Wii,4.06,2.12,1.47,0.05,0.42
World Soccer Winning Eleven 9,PlayStation 2,4.06,0.12,2.26,0.90,0.77
Forza Motorsport 2,Xbox 360,4.05,2.35,1.27,0.03,0.41
Namco Museum Vol.3,PlayStation,4.05,2.28,1.55,0.16,0.06
Tekken Tag Tournament,PlayStation 2,4.05,1.68,1.51,0.51,0.35
Star Fox 64,Nintendo 64,4.03,2.78,0.58,0.64,0.04
Golf,NES,4.01,1.22,0.28,2.46,0.04
Fallout 3,PlayStation 3,4.00,2.18,1.15,0.07,0.61
The Elder Scrolls V: Skyrim,PC,3.99,1.18,2.25,NA,0.56
Namco Museum: 50th Anniversary,PlayStation 2,3.98,2.08,1.35,NA,0.54
NBA 2K16,PlayStation 4,3.98,2.56,0.66,0.05,0.71
Left 4 Dead 2,Xbox 360,3.97,2.67,0.88,0.05,0.38
The Legend of Zelda: Skyward Sword,Wii,3.96,2.03,1.18,0.37,0.39
Monster Hunter 4 Ultimate,3DS,3.96,0.72,0.49,2.63,0.12
Far Cry 5,PlayStation 4,3.95,1.44,1.73,0.15,0.62
Professor Layton and the Diabolical Box,DS,3.95,0.90,1.76,0.92,0.37
Battlefield 4,PlayStation 4,3.94,1.40,1.74,0.19,0.62
Assassin's Creed IV: Black Flag,PlayStation 3,3.94,1.34,1.86,0.13,0.62
Forza Horizon 3,Xbox One,3.93,1.64,1.96,0.02,0.32
EA Sports Active,Wii,3.93,2.11,1.35,0.06,0.40
Donkey Kong Land,Game Boy Advance,3.91,1.97,0.76,1.07,0.11
Tony Hawk's Underground,PlayStation 2,3.90,2.29,1.17,0.01,0.42
Just Dance 2014,Wii,3.89,1.91,1.66,NA,0.33
Sports Champions,PlayStation 3,3.88,2.15,1.13,0.10,0.50
Tekken 5,PlayStation 2,3.87,0.93,1.94,0.31,0.70
MotorStorm,PlayStation 3,3.87,1.53,1.61,0.06,0.67
Dragon Quest III,NES,3.87,0.10,NA,3.77,0.00
World Soccer Winning Eleven 8 International,PlayStation 2,3.85,0.16,1.89,1.12,0.68
Namco Museum Vol.1,PlayStation,3.84,2.12,1.44,0.22,0.06
The Legend of Zelda: Link's Awakening,Game Boy Advance,3.83,2.21,0.96,0.54,0.13
Flash Focus: Vision Training in Minutes a Day,DS,3.83,0.86,1.56,1.05,0.35
Big Brain Academy: Wii Degree,Wii,3.79,1.05,1.91,0.41,0.42
Mario & Luigi: Bowser's Inside Story,DS,3.77,2.23,0.47,0.81,0.27
Resident Evil Director's Cut,PlayStation,3.77,1.82,1.24,0.47,0.25
Gran Turismo Sport,PlayStation 4,3.77,0.63,2.35,0.24,0.54
LEGO Indiana Jones: The Original Adventures,Xbox 360,3.76,2.40,1.01,NA,0.36
The Sims: Unleashed,PC,3.76,2.03,1.56,NA,0.17
Ratchet & Clank: Size Matters,PSP,3.75,1.40,1.40,0.10,0.86
